
#################################### NEW YORK ###################################
+--------------------------------------------------+--------------------+--------------------+
|antecedent                                        |consequent          |confidence          |
|[sr_UNKNOWN, ss_U, va_25-44]                      |765002              |0.21856912737718304 |
|[sa_UNKNOWN, sr_UNKNOWN, ss_U, va_25-44]          |763920              |0.2182599885830072  |
|[BROOKLYN, sa_UNKNOWN]                            |753341              |0.21523745687913817 |
|[QUEENS]                                          |750402              |0.21439775362952374 |
|[c_THEFT, sr_UNKNOWN]                             |749894              |0.21425261267994763 |
|[sa_UNKNOWN, vr_BLACK]                            |749604              |0.21416975662605578 |
|[BRONX]                                           |748543              |0.21386661775302382 |
|[c_THEFT, sa_UNKNOWN, sr_UNKNOWN]                 |746864              |0.213386909772043   |
|[MANHATTAN]                                       |743120              |0.21231720954524597 |
|[c_THEFT, ss_U]                                   |734405              |0.20982724227053015 |
|[c_THEFT, sa_UNKNOWN, ss_U]                       |732456              |0.20927039244627071 |
|[c_THEFT, sr_UNKNOWN, ss_U]                       |726850              |0.20766869921138179 |
|[c_THEFT, sa_UNKNOWN, sr_UNKNOWN, ss_U]           |726531              |0.20757755755210075 |
|[c_OTHER, vs_F]                                   |715785              |0.2045073121896112  |
|[vr_BLACK, vs_F]                                  |707683              |0.20219248547019097 |
|[va_25-44, vs_M]                                  |700111              |0.20002908533202135 |
|[l_STREET, sr_UNKNOWN]                            |665840              |0.19023749973571777 |
|[l_STREET, sa_UNKNOWN, sr_UNKNOWN]                |656363              |0.18752982103663782 |
|[l_APT. HOUSE, vs_F]                              |635494              |0.18156732797226094 |
|[l_STREET, ss_U]                                  |633636              |0.1810364778062917  |
|[sa_UNKNOWN, vr_WHITE]                            |629894              |0.179967349000556   |
|[l_STREET, sa_UNKNOWN, ss_U]                      |628975              |0.17970478102287799 |
|[l_STREET, vs_M]                                  |627114              |0.17917307372531674 |
|[sa_UNKNOWN, va_45-64]                            |622342              |0.1778096630729996  |
|[sa_UNKNOWN, vr_HISPANIC]                         |620270              |0.1772176708534688  |
|[l_STREET, sr_UNKNOWN, ss_U]                      |615640              |0.17589483109650558 |
|[l_STREET, sa_UNKNOWN, sr_UNKNOWN, ss_U]          |614909              |0.17568597669859196 |
|[ss_M, va_25-44]                                  |608791              |0.17393799967200432 |
|[BROOKLYN, vs_F]                                  |587365              |0.16781636584204893 |
|[sr_BLACK, ss_M]                                  |585054              |0.16715608880569    |
|[c_OTHER, ss_M]                                   |583850              |0.1668120933267734  |
|[sa_25-44]                                        |575065              |0.16430212631491128 |
|[l_APT. HOUSE, sa_UNKNOWN]                        |574731              |0.16420669899767032 |
|[BROOKLYN, sr_UNKNOWN]                            |569774              |0.1627904318971808  |
|[BROOKLYN, sa_UNKNOWN, sr_UNKNOWN]                |555816              |0.15880248431020622 |
|[sr_UNKNOWN, vr_BLACK]                            |548795              |0.15679651067443115 |
|[MANHATTAN, sa_UNKNOWN]                           |545500              |0.15585509447590118 |
|[sa_UNKNOWN, va_25-44, vs_M]                      |545418              |0.15583166621238692 |
|[ss_M, vs_M]                                      |540132              |0.15432140034730973 |
|[c_OTHER, sa_UNKNOWN]                             |538195              |0.15376797904941822 |
|[sa_UNKNOWN, va_25-44, vs_F]                      |536976              |0.15341969791254173 |
|[va_25-44, vr_BLACK]                              |535756              |0.15307113106513456 |
|[vr_HISPANIC, vs_F]                               |534518              |0.15271742142817551 |
|[BROOKLYN, ss_U]                                  |534304              |0.15265627937461393 |
|[l_STREET, sa_UNKNOWN, vs_M]                      |533821              |0.15251828118830438 |
|[sa_UNKNOWN, sr_UNKNOWN, vr_BLACK]                |533069              |0.15230342686924686 |
|[BROOKLYN, sa_UNKNOWN, ss_U]                      |529558              |0.151300297196094   |
|[sr_BLACK, vr_BLACK]                              |527516              |0.150716876292483   |
|[c_SIMPLE ASSAULT]                                |525084              |0.15002202828191402 |
+--------------------------------------------------+--------------------+--------------------+


#################################### CHICAGO ####################################
+--------------------------------------------------+--------------------+--------------------+
|antecedent                                        |consequent          |confidence          |
+--------------------------------------------------+--------------------+--------------------+
|[c_THEFT]                                         |false               |0.8951182394691766  |
|[c_SIMPLE ASSAULT]                                |false               |0.7873839962664586  |
