
###### NEW YORK #####
+-------------------------------------------------------+------------+------------------+------------------+
|antecedent                                             |consequent  |confidence        |lift              |
|[vr_BLACK, sa_UNKNOWN]                                 |[sr_UNKNOWN]|0.7057269308546493|1.2615310120823198|
|[vr_BLACK, sa_UNKNOWN]                                 |[ss_U]      |0.6686309291517366|1.2890811385005723|
|[vr_WHITE, sa_UNKNOWN]                                 |[vs_M]      |0.532917066790291 |1.1701725301780874|
|[vr_WHITE, sa_UNKNOWN]                                 |[sr_UNKNOWN]|0.7981514288552601|1.4267455807862666|
|[vr_WHITE, sa_UNKNOWN]                                 |[ss_U]      |0.7647417960859632|1.4743772418786043|
|[MANHATTAN, ss_U, sr_UNKNOWN]                          |[sa_UNKNOWN]|0.998770350178308 |1.366061575564632 |
|[vr_HISPANIC, ss_U, sr_UNKNOWN]                        |[sa_UNKNOWN]|0.9985190396276067|1.3657178472122777|
|[QUEENS, sr_UNKNOWN, sa_UNKNOWN]                       |[ss_U]      |0.9312328494308582|1.7953622086797612|
|[BROOKLYN, sr_UNKNOWN, sa_UNKNOWN]                     |[ss_U]      |0.9330177750860394|1.7988034404496391|
|[vr_HISPANIC, sa_UNKNOWN]                              |[sr_UNKNOWN]|0.7177555095582794|1.2830328485610918|
|[vr_HISPANIC, sa_UNKNOWN]                              |[ss_U]      |0.667461892020499 |1.2868273036114248|
|[vr_HISPANIC, sr_UNKNOWN, sa_UNKNOWN]                  |[ss_U]      |0.9091260095987644|1.7527415206186228|
|[MANHATTAN, ss_U]                                      |[sr_UNKNOWN]|0.9725307625775569|1.7384595422905036|
|[MANHATTAN, ss_U]                                      |[sa_UNKNOWN]|0.9923829247862869|1.3573252165074492|
|[vr_WHITE, sr_UNKNOWN, sa_UNKNOWN]                     |[ss_U]      |0.9452631114937223|1.8224117294316704|
|[va_25-44, vs_M, ss_U, sr_UNKNOWN]                     |[sa_UNKNOWN]|0.9991575143628576|1.3665911168309037|
|[vr_BLACK, ss_U, sr_UNKNOWN]                           |[sa_UNKNOWN]|0.9987083689299093|1.3659768011199083|
|[va_45-64, sr_UNKNOWN, sa_UNKNOWN]                     |[ss_U]      |0.9367166039399374|1.8059345651138101|
|[vr_BLACK, vs_F]                                       |[sa_UNKNOWN]|0.6165085089642668|0.843225457137744 |
|[BROOKLYN, ss_U, sr_UNKNOWN]                           |[sa_UNKNOWN]|0.9989154459537   |1.3662600293568419|
|[vr_HISPANIC, sr_UNKNOWN]                              |[sa_UNKNOWN]|0.967514518994508 |1.3233116180945277|
|[vr_HISPANIC, sr_UNKNOWN]                              |[ss_U]      |0.8808971877094955|1.6983180109169194|
|[vs_F, sr_UNKNOWN, sa_UNKNOWN]                         |[ss_U]      |0.9228028602721676|1.7791096849802985|
|[INSIDE RESIDENCE - APT. HOUSE]                        |[vs_F]      |0.6618291426875608|1.2154335762497437|
|[INSIDE RESIDENCE - APT. HOUSE]                        |[sa_UNKNOWN]|0.6158383051098252|0.8423087902250903|
|[ss_U, sr_UNKNOWN, sa_UNKNOWN]                         |[vs_M]      |0.5182130126736942|1.137885554808495 |
|[MANHATTAN]                                            |[vs_F]      |0.5346248616857556|0.9818259210406265|
|[MANHATTAN]                                            |[sr_UNKNOWN]|0.589285898950927 |1.0533853874743415|
|[MANHATTAN]                                            |[ss_U]      |0.5510787335914886|1.0624474135571398|
|[MANHATTAN]                                            |[sa_UNKNOWN]|0.7695310994348976|1.0525210985211433|
|[va_45-64, sr_UNKNOWN]                                 |[sa_UNKNOWN]|0.9807278493490984|1.3413840637567616|
|[va_45-64, sr_UNKNOWN]                                 |[ss_U]      |0.9195709851681191|1.772878819704736 |
|[INSIDE RESIDENCE - APT. HOUSE, sa_UNKNOWN]            |[sr_UNKNOWN]|0.7440023109308921|1.3299506470067561|
|[INSIDE RESIDENCE - APT. HOUSE, sa_UNKNOWN]            |[ss_U]      |0.6903514585726492|1.3309570427909512|
|[ss_M, va_25-44]                                       |[vs_F]      |0.6477841416300042|1.1896402638028238|
|[ss_U, sr_UNKNOWN]                                     |[sa_UNKNOWN]|0.9987982196080541|1.3660996937938148|
|[ss_U, sr_UNKNOWN]                                     |[vs_M]      |0.5180959556548179|1.1376285224924187|
|[vs_F, sr_UNKNOWN]                                     |[sa_UNKNOWN]|0.964007852566096 |1.318515398157361 |
|[vs_F, sr_UNKNOWN]                                     |[ss_U]      |0.8908762576947026|1.7175570714163002|
